Time;Voltage
28950;22.9545454545455
29000;30.6060606060606
29050;15.3030303030303
29100;38.2575757575758
29150;45.9090909090909
29200;30.6060606060606
29250;53.5606060606061
29300;53.5606060606061
29350;53.5606060606061
29400;68.8636363636364
29450;68.8636363636364
29500;61.2121212121212
29550;84.1666666666667
29600;84.1666666666667
29650;84.1666666666667
29700;99.4692072727273
29750;84.1666666666667
29800;91.8181818181818
29850;107.121212121212
29900;99.4692072727273
29950;107.121212121212
30000;114.773216969697
30050;107.121212121212
30100;130.075267878788
30150;130.075267878788
30200;122.424242424242
30250;145.379277575758
30300;145.379277575758
30350;137.727272727273
30400;160.681328484848
30450;153.030303030303
30500;145.379277575758
30550;168.333333333333
30600;168.333333333333
30650;160.681328484848
30700;175.985338181818
30750;168.333333333333
30800;175.985338181818
30850;183.636363636364
30900;183.636363636364
30950;183.636363636364
31000;198.939393939394
31050;191.287389090909
31100;198.939393939394
31150;206.591398787879
31200;191.287389090909
31250;214.242424242424
31300;214.242424242424
31350;206.591398787879
31399;221.89344969697
31450;221.89344969697
31500;214.242424242424
31550;229.545454545455
31600;221.89344969697
31649;221.89344969697
31700;237.197459393939
31750;237.197459393939
31800;237.197459393939
31850;244.848484848485
31899;237.197459393939
31950;237.197459393939
32000;244.848484848485
32050;237.197459393939
32099;244.848484848485
32149;252.49951030303
32200;237.197459393939
32250;252.49951030303
32300;260.151515151515
32349;244.848484848485
32400;260.151515151515
32450;260.151515151515
32500;244.848484848485
32550;260.151515151515
32599;260.151515151515
32650;252.49951030303
32700;267.80352
32750;260.151515151515
32800;252.49951030303
32850;275.454545454545
32900;267.80352
32950;260.151515151515
33000;275.454545454545
33050;267.80352
33100;275.454545454545
33150;283.105570909091
33200;267.80352
33250;283.105570909091
33300;290.757575757576
33350;275.454545454545
33400;290.757575757576
33450;290.757575757576
33500;275.454545454545
33550;290.757575757576
33600;290.757575757576
33650;283.105570909091
33700;298.409580606061
33750;290.757575757576
33800;283.105570909091
33850;298.409580606061
33900;290.757575757576
33950;283.105570909091
34000;298.409580606061
34050;283.105570909091
34100;290.757575757576
34150;298.409580606061
34200;283.105570909091
34250;290.757575757576
34300;298.409580606061
34350;283.105570909091
34400;298.409580606061
34450;298.409580606061
34500;283.105570909091
34550;298.409580606061
34600;290.757575757576
34650;283.105570909091
34700;298.409580606061
34750;290.757575757576
34800;275.454545454545
34850;283.105570909091
34900;275.454545454545
34950;267.80352
35000;275.454545454545
35050;260.151515151515
35100;260.151515151515
35150;267.80352
35200;252.49951030303
35250;260.151515151515
35300;260.151515151515
35350;244.848484848485
35400;252.49951030303
35450;252.49951030303
35500;237.197459393939
35550;244.848484848485
35600;244.848484848485
35650;229.545454545455
35700;325.2
35750;229.545454545455
35800;221.89344969697
35850;237.197459393939
35900;229.545454545455
35950;214.242424242424
36000;229.545454545455
36050;214.242424242424
36100;206.591398787879
36150;214.242424242424
36200;198.939393939394
36250;198.939393939394
36300;206.591398787879
36350;183.636363636364
36400;198.939393939394
36450;191.287389090909
36500;175.985338181818
36550;191.287389090909
36600;183.636363636364
36650;168.333333333333
36700;175.985338181818
36750;168.333333333333
36800;160.681328484848
36850;168.333333333333
36900;153.030303030303
36950;145.379277575758
37000;153.030303030303
37050;145.379277575758
37100;130.075267878788
37150;137.727272727273
37200;122.424242424242
37250;114.773216969697
37300;122.424242424242
37350;107.121212121212
37400;107.121212121212
37450;114.773216969697
37500;91.8181818181818
37550;99.4692072727273
37600;99.4692072727273
37650;76.5151515151515
37700;84.1666666666667
37750;84.1666666666667
37800;68.8636363636364
37850;76.5151515151515
37900;61.2121212121212
37950;53.5606060606061
38000;61.2121212121212
38050;53.5606060606061
38100;38.2575757575758
38150;53.5606060606061
38200;38.2575757575758
38250;22.9545454545455
38300;30.6060606060606
38350;15.3030303030303
38400;7.65151515151515
38450;15.3030303030303
38500;-7.65151515151515
38550;0
38600;0
38650;-15.3030303030303
38700;-7.65151515151515
38750;-15.3030303030303
38800;-30.6060606060606
38850;-22.9545454545455
38900;-30.6060606060606
38950;-45.9090909090909
39000;-30.6060606060606
39050;-45.9090909090909
39100;-61.2121212121212
39150;-45.9090909090909
39200;-61.2121212121212
39250;-68.8636363636364
39300;-61.2121212121212
39350;-84.1666666666667
39400;-84.1666666666667
39450;-76.5151515151515
39500;-99.4692072727273
39550;-91.8181818181818
39600;-91.8181818181818
39650;-107.121212121212
39700;-107.121212121212
39750;-107.121212121212
39800;-122.424242424242
39850;-107.121212121212
39900;-114.773216969697
39950;-130.075267878788
40000;-122.424242424242
40050;-137.727272727273
40100;-145.379277575758
40150;-130.075267878788
40200;-145.379277575758
40250;-160.681328484848
40300;-153.030303030303
40350;-168.333333333333
40400;-168.333333333333
40450;-160.681328484848
40500;-175.985338181818
40550;-175.985338181818
40600;-175.985338181818
40650;-191.287389090909
40700;-183.636363636364
40750;-183.636363636364
40800;-206.591398787879
40850;-191.287389090909
40900;-191.287389090909
40950;-214.242424242424
41000;-198.939393939394
41050;-206.591398787879
41100;-221.89344969697
41150;-214.242424242424
41200;-221.89344969697
41250;-229.545454545455
41300;-221.89344969697
41350;-229.545454545455
41400;-237.197459393939
41450;-229.545454545455
41500;-237.197459393939
41550;-244.848484848485
41600;-229.545454545455
41650;-244.848484848485
41700;-244.848484848485
41750;-252.49951030303
41800;-260.151515151515
41850;-252.49951030303
41900;-252.49951030303
41950;-267.80352
42000;-252.49951030303
42050;-260.151515151515
42100;-267.80352
42150;-252.49951030303
42200;-260.151515151515
42250;-275.454545454545
42300;-260.151515151515
42350;-267.80352
42400;-275.454545454545
42450;-260.151515151515
42500;-275.454545454545
42550;-275.454545454545
42600;-267.80352
42650;-283.105570909091
42700;-275.454545454545
42750;-267.80352
42800;-283.105570909091
42850;-275.454545454545
42900;-275.454545454545
42950;-290.757575757576
43000;-275.454545454545
43050;-283.105570909091
43100;-298.409580606061
43150;-283.105570909091
43200;-290.757575757576
43250;-306.060606060606
43300;-283.105570909091
43350;-290.757575757576
43400;-306.060606060606
43450;-290.757575757576
43500;-298.409580606061
43550;-306.060606060606
43600;-290.757575757576
43650;-306.060606060606
43700;-306.060606060606
43750;-298.409580606061
43800;-313.711631515152
43850;-298.409580606061
43900;-298.409580606061
43950;-313.711631515152
44000;-298.409580606061
44050;-298.409580606061
44100;-313.711631515152
44150;-298.409580606061
44200;-298.409580606061
44250;-313.711631515152
44300;-298.409580606061
44350;-298.409580606061
44400;-313.711631515152
44450;-298.409580606061
44500;-306.060606060606
44550;-313.711631515152
44600;-298.409580606061
44650;-313.711631515152
44700;-313.711631515152
44750;-290.757575757576
44800;-306.060606060606
44850;-290.757575757576
44900;-283.105570909091
44950;-290.757575757576
45000;-275.454545454545
45050;-275.454545454545
45100;-283.105570909091
45150;-267.80352
45200;-267.80352
45250;-275.454545454545
45300;-260.151515151515
45350;-267.80352
45400;-267.80352
45450;-252.49951030303
45500;-260.151515151515
45550;-267.80352
45600;-252.49951030303
45650;-260.151515151515
45700;-260.151515151515
45750;-244.848484848485
45800;-252.49951030303
45850;-244.848484848485
45900;-237.197459393939
